id,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt
01HK6SJ6HASC4QN5QW5FPP6K64,01HK6SJ6B8ND8NDPF7NWQG8FT4,2024-01-02T23:33:32.202892-05:00,01HK6SJ6C9VWKHD9GTAH0G01AZ,2024-01-02T23:33:32.202892-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:32.202892-05:00,true,2024-01-02T23:33:42.164292-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:32.202892-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:32.202892-05:00
01HK6SJG9MKDCKMBCFMRG7QGWW,01HK6SJ6B9TS3A73QY501EFQ5M,2024-01-02T23:33:42.196037-05:00,01HK6SJ6CAEXDHJAA4PKXQTSED,2024-01-02T23:33:42.196037-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:42.196037-05:00,true,2024-01-02T23:33:44.564261-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:42.196037-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:42.196037-05:00
01HK6SJJMJJVZ4AX7D5RQ99G7C,01HK6SJ6BA3G93BEX0VJYS8RM0,2024-01-02T23:33:44.594484-05:00,01HK6SJ6CC8D4V07PDVXNH51ZC,2024-01-02T23:33:44.594484-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:44.594484-05:00,true,2024-01-02T23:33:50.095353-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:44.594484-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:44.594484-05:00
01HK6SJR1KKEFQSP88ESPAMTPH,01HK6SJ6BBH9CP5H6T7CP6V8KD,2024-01-02T23:33:50.131059-05:00,01HK6SJ6CETMWYXNK9T9WHM2GH,2024-01-02T23:33:50.131059-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:50.131059-05:00,true,2024-01-02T23:33:53.980067-05:00,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:50.131059-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:50.131059-05:00
01HK6SJVTVD357WJ8Q0EDCKEPR,01HK6SJ6BBH9CP5H6T7X2N5GJD,2024-01-02T23:33:54.011501-05:00,01HK6SJ6CN4Z6C9ZZDNREXJ9FF,2024-01-02T23:33:54.011501-05:00,01HK6SJ5H58M1HDHMX9R39M2V1,2024-01-02T23:33:54.011501-05:00,,,01HK6SJ09CJ145V3Y8RSG5K54B,2024-01-02T23:33:54.011501-05:00,01HK6SJ09X7DTV1WSKWY8YNA3D,2024-01-02T23:33:54.011501-05:00
01HK7ZMGSPT2Z7C6RR52AEAGZ9,01HK7ZMGKZJ10308D6QR966S9V,2024-01-03T10:38:54.134736-05:00,01HK7ZMGN16VA8RGTWYN74H2CZ,2024-01-03T10:38:54.134736-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:38:54.134736-05:00,true,2024-01-03T10:38:57.235939-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:54.134736-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:54.134736-05:00
01HK7ZMGSRX0VD1Q85N1K31QCR,01HK7ZMGKZJ10308D6QR966S9V,2024-01-03T10:38:54.136191-05:00,01HK7ZMGN16VA8RGTWYN74H2CZ,2024-01-03T10:38:54.136191-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:38:54.136191-05:00,true,2024-01-03T10:39:00.469465-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:54.136191-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:54.136191-05:00
01HK7ZMGSS3SN9Q7YQJ8XMD3XF,01HK7ZMGKZJ10308D6QR966S9V,2024-01-03T10:38:54.137662-05:00,01HK7ZMGN16VA8RGTWYN74H2CZ,2024-01-03T10:38:54.137662-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:38:54.137662-05:00,true,2024-01-03T10:39:03.040406-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:38:54.137662-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:38:54.137662-05:00
01HK7ZMSHP5SHAM0TTH3CXA9D2,01HK7ZMGM06E7E3FWTJCNB7YEW,2024-01-03T10:39:03.094337-05:00,01HK7ZMGN39NXM14MWWWG6AWME,2024-01-03T10:39:03.094337-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:39:03.094337-05:00,true,2024-01-03T10:39:05.886687-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:03.094337-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:03.094337-05:00
01HK7ZMSHTBYDTKGGXC8K21XP9,01HK7ZMGM06E7E3FWTJCNB7YEW,2024-01-03T10:39:03.098079-05:00,01HK7ZMGN39NXM14MWWWG6AWME,2024-01-03T10:39:03.098079-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:39:03.098079-05:00,true,2024-01-03T10:39:10.869791-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:03.098079-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:03.098079-05:00
01HK7ZMSHX8PCPR3THSM9FJM79,01HK7ZMGM06E7E3FWTJCNB7YEW,2024-01-03T10:39:03.101087-05:00,01HK7ZMGN39NXM14MWWWG6AWME,2024-01-03T10:39:03.101087-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:39:03.101087-05:00,true,2024-01-03T10:39:14.820266-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:03.101087-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:03.101087-05:00
01HK7ZN51TVTFHJDQBK4MKY2R4,01HK7ZMGM06E7E3FWTJVKW2SE1,2024-01-03T10:39:14.874726-05:00,01HK7ZMGN4BAK1AV6V08VD9NVB,2024-01-03T10:39:14.874726-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:39:14.874726-05:00,true,2024-01-03T10:39:20.43615-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:14.874726-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:14.874726-05:00
01HK7ZN51Y96HYEZQMYPFP5FW2,01HK7ZMGM06E7E3FWTJVKW2SE1,2024-01-03T10:39:14.878643-05:00,01HK7ZMGN4BAK1AV6V08VD9NVB,2024-01-03T10:39:14.878643-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:39:14.878643-05:00,true,2024-01-03T10:39:25.386245-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:14.878643-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:14.878643-05:00
01HK7ZN52116CPQRS27X06G712,01HK7ZMGM06E7E3FWTJVKW2SE1,2024-01-03T10:39:14.88144-05:00,01HK7ZMGN4BAK1AV6V08VD9NVB,2024-01-03T10:39:14.88144-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:39:14.88144-05:00,true,2024-01-03T10:39:28.553637-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:14.88144-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:14.88144-05:00
01HK7ZNJFQ05F4QZA8HRTHPPM1,01HK7ZMGM1YKGYYJ09F31JVQ98,2024-01-03T10:39:28.631469-05:00,01HK7ZMGN65XWXEPVC26E4W9ER,2024-01-03T10:39:28.631469-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:39:28.631469-05:00,,,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:28.631469-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:28.631469-05:00
01HK7ZNJFTNBRH86JQPAD28K1G,01HK7ZMGM1YKGYYJ09F31JVQ98,2024-01-03T10:39:28.634562-05:00,01HK7ZMGN65XWXEPVC26E4W9ER,2024-01-03T10:39:28.634562-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:39:28.634562-05:00,,,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:28.634562-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:28.634562-05:00
01HK7ZNJFW8S582CAVHH325KNK,01HK7ZMGM1YKGYYJ09F31JVQ98,2024-01-03T10:39:28.636187-05:00,01HK7ZMGN65XWXEPVC26E4W9ER,2024-01-03T10:39:28.636187-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:39:28.636187-05:00,,,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:39:28.636187-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:39:28.636187-05:00
01HK7ZS7R7YGX2JSPGCFB8YQS1,01HK7ZMGM3VNK5SCB9BYVQGQ7T,2024-01-03T10:41:28.711708-05:00,01HK7ZMGN7X79PV7B37PTG8GVC,2024-01-03T10:41:28.711708-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:41:28.711708-05:00,true,2024-01-03T10:42:06.756135-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:41:28.711708-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:41:28.711708-05:00
01HK7ZS7RBN32QN407B5ZZXXWJ,01HK7ZMGM3VNK5SCB9BYVQGQ7T,2024-01-03T10:41:28.715507-05:00,01HK7ZMGN7X79PV7B37PTG8GVC,2024-01-03T10:41:28.715507-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:41:28.715507-05:00,true,2024-01-03T10:42:09.855136-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:41:28.715507-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:41:28.715507-05:00
01HK7ZS7RDZ3T2J2ZZEA1PXA2M,01HK7ZMGM3VNK5SCB9BYVQGQ7T,2024-01-03T10:41:28.717993-05:00,01HK7ZMGN7X79PV7B37PTG8GVC,2024-01-03T10:41:28.717993-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:41:28.717993-05:00,true,2024-01-03T10:42:12.270126-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:41:28.717993-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:41:28.717993-05:00
01HK7ZTJBCC9RMGQ3VGXW5H7Y8,01HK7ZMGM3VNK5SCB9CGWZJH2Z,2024-01-03T10:42:12.33216-05:00,01HK7ZMGNAXDDXMZWW449ZZ5M9,2024-01-03T10:42:12.33216-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:42:12.33216-05:00,true,2024-01-03T10:42:16.254689-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:42:12.33216-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:42:12.33216-05:00
01HK7ZTJBEBBEQ68K8HB48TBEB,01HK7ZMGM3VNK5SCB9CGWZJH2Z,2024-01-03T10:42:12.334952-05:00,01HK7ZMGNAXDDXMZWW449ZZ5M9,2024-01-03T10:42:12.334952-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:42:12.334952-05:00,true,2024-01-03T10:42:20.15401-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:42:12.334952-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:42:12.334952-05:00
01HK7ZTJBHY96ZXXRJPKEANHHG,01HK7ZMGM3VNK5SCB9CGWZJH2Z,2024-01-03T10:42:12.337334-05:00,01HK7ZMGNAXDDXMZWW449ZZ5M9,2024-01-03T10:42:12.337334-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:42:12.337334-05:00,true,2024-01-03T10:42:22.555229-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:42:12.337334-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:42:12.337334-05:00
01HK7ZTWCPCKEBKFCFSAHHG6EA,01HK7ZMGM47AZW186SMBGXCZ23,2024-01-03T10:42:22.614423-05:00,01HK7ZMGNCKPRVSRRP6MK7XA81,2024-01-03T10:42:22.614423-05:00,01HK7ZM0JVEM9QPZ2BK9PZNYKZ,2024-01-03T10:42:22.614423-05:00,true,2024-01-03T10:42:28.103091-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:42:22.614423-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:42:22.614423-05:00
01HK7ZTWCSQP3Z63EEAN0AH1XN,01HK7ZMGM47AZW186SMBGXCZ23,2024-01-03T10:42:22.61747-05:00,01HK7ZMGNCKPRVSRRP6MK7XA81,2024-01-03T10:42:22.61747-05:00,01HK7ZM7C1RK8SDNRKJ62TAAEX,2024-01-03T10:42:22.61747-05:00,true,2024-01-03T10:42:31.373399-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:42:22.61747-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:42:22.61747-05:00
01HK7ZTWCVMW6MCWKVFAJ314HT,01HK7ZMGM47AZW186SMBGXCZ23,2024-01-03T10:42:22.619815-05:00,01HK7ZMGNCKPRVSRRP6MK7XA81,2024-01-03T10:42:22.619815-05:00,01HK7ZMBE4MJV9523SMJZD5M14,2024-01-03T10:42:22.619815-05:00,true,2024-01-03T10:42:34.670589-05:00,01HK7ZKQYJGC17VTRXGWYWMNE5,2024-01-03T10:42:22.619815-05:00,01HK7ZKQYYS0K1PDRK33NC2ED1,2024-01-03T10:42:22.619815-05:00
